Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification,Landmark,Video Name
0,0.8390187205272843,83.69668053307666,83.76504559076292,80.33549347498334,84.82596915577331,0.4478923422031376,0.14287157644029141,0.025351061048279888,-0.2923521539213212,1.460988927433732,0.12752772667709933,-0.057185468378721536,-0.02745430741139465,-0.36304936347249495,0.0986483136765095,indirect,left_ankle,Phrase3.mp4
1,0.8783293951402598,81.40065191037667,81.19750855476425,80.43266034574492,83.7848719829603,0.17903323781235386,-0.11857992778363383,-0.1157813335552369,-0.42613704165027144,0.18154907681326193,0.06022304993571978,-0.00010867646484816381,-0.004236256125800253,-0.11952305144883368,0.10780863267540042,indirect,left_ankle,Phrase3.mp4
2,8.388554227588054,70.80691221861852,74.4042095094533,43.7570457660762,80.23483659618748,1.9144760499402325,-1.3278595653884981,-0.7611388403637065,-6.863020287125618,0.3360758096331722,0.5656680845392297,-0.19557480726137175,-0.13599273866239336,-1.7078832502953212,0.7570786836266361,indirect,left_ankle,Phrase3.mp4
3,23.4374387898548,53.56047938023399,58.34536005905307,12.528485939609105,78.18744346038453,6.138616639455565,-0.6565128651547261,-0.09171526176368161,-11.050488411389452,9.70388301518327,2.237370223753987,0.17060240492748718,0.20757985581242622,-3.294497456876975,4.090303338326223,indirect,left_ankle,Phrase3.mp4
4,19.039567411454133,47.23521958237973,48.68316885944322,19.004077636790772,71.7221973966846,5.967952216370743,-0.8136050966028008,-1.4489801701460485,-8.005113112233929,8.431366246115822,1.6556058927566377,-0.45039326143822545,-0.05719288231115094,-3.141870877723205,2.085829660488419,indirect,left_ankle,Phrase3.mp4
5,23.53039694025038,62.59260140496576,73.02979204694108,19.47789566540303,84.71227041547412,2.956697636563818,3.6750165757632107,2.8988186376499705,-0.3211334599265214,8.499416696453974,1.0160146394223926,-0.14816207182848407,-0.39437239052449513,-1.506465408814094,1.864321412500174,indirect,left_ankle,Phrase3.mp4
6,8.127968628345654,68.71818304054672,66.61027654417933,56.050163178015715,84.07000349562108,0.34760941749766067,-0.962141204411709,-0.9897635330067356,-1.536380505234625,-0.41642310813334404,0.16511413213803494,-0.01775101194579302,-0.0038147251849682817,-0.4449953397311397,0.23234732670661984,indirect,left_ankle,Phrase3.mp4
7,7.263297583227266,63.418385665631895,66.55820413017447,53.18478738370279,76.68707538897658,0.86150656339141,0.7348484163494894,0.8336135632777495,-1.013142622458048,1.9222741073316172,0.26485236447067656,0.09222320557327042,0.20813830099606978,-0.5587163810835811,0.3453557212025409,indirect,left_ankle,Phrase3.mp4
8,1.5114178035401622,82.38263028517557,82.60431642129359,78.38249501518995,84.22898498743467,0.5730003593331635,0.21852537277843803,0.17364590319139594,-0.5184361615088378,1.6442654223260433,0.13649480834185657,-0.05040808075640513,-0.06430201335855479,-0.2911061959838186,0.19404382443523716,indirect,left_ankle,Phrase3.mp4
9,3.432809459492008,82.19196823403082,83.87334478459476,75.37693672761125,85.64312255345234,0.35292426037721714,-0.2920397521089503,-0.4455669267264355,-0.7220596909262937,0.22400631739505883,0.08465191541628203,-0.008742607757659707,-0.016643635164541593,-0.1283441629207509,0.21110640287457372,indirect,left_ankle,Phrase3.mp4
10,2.829808541357621,79.4866659266431,79.02932330680409,75.28177091672454,83.21777255685717,0.16699738098295097,0.2608040424077139,0.2586079154186436,-0.035192228720845264,0.5409012231656121,0.06290651392239299,0.002123667986432309,-0.007922664671909274,-0.0850994712764006,0.190342347850887,indirect,left_ankle,Phrase3.mp4
11,0.7515200782436049,83.14238371705636,83.09958750638802,81.8368158780937,84.41420612602394,0.16443633669539665,-0.04617348863769545,-0.031537778959062734,-0.36031582612962154,0.22092750923498983,0.055875906888066255,-0.0031947069013404197,0.0055802310051618065,-0.12153569041200285,0.0872421645632997,indirect,left_ankle,Phrase3.mp4
12,3.16381875412411,78.04162590840991,78.49039787733645,70.40752599546346,81.6997249924432,0.4706180055813359,-0.41811030037126834,-0.3331175457449831,-2.1489365894330277,-0.022772329274722836,0.16661719906648567,-0.07252708345808934,-0.024959910866650503,-0.5072280649988414,0.10235669544386639,indirect,left_ankle,Phrase3.mp4
13,12.869983334493574,53.52851184071677,58.28018642487315,26.94822164986016,68.41246634261702,3.9941426591979456,-0.3105473144671633,-1.75284008148045,-5.822050812081979,8.734154139304415,1.579189181030982,0.04017294411218645,-0.15174808813423502,-2.8405189672132654,3.4138365727617197,indirect,left_ankle,Phrase3.mp4
14,1.5486419756321006,58.23489267032562,58.23489267032562,57.13983742772603,59.329947912925206,0.34314318483245565,-1.9162881927028592,-1.9162881927028592,-2.1589270656158375,-1.673649319789881,0.23640915994073217,-0.6454386838651452,-0.6454386838651452,-0.812605203993852,-0.47827216373643844,indirect,left_ankle,Phrase3.mp4
16,2.739039813100312,49.68424073143889,50.43558555250295,45.2086026806032,54.52492911920794,1.2393317628729785,-0.18697308759077308,-0.07193768417461044,-2.287622617761933,1.7580677126756754,0.46688476937126877,0.21317830597825443,0.3382272106423997,-0.6240069996809368,0.9294256903282747,indirect,left_ankle,Phrase3.mp4
