Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification,Landmark,Video Name
0,1.5490972493045287,78.92616953168428,78.50194502707139,77.87970652812183,85.07521737051532,0.6542229993178957,-0.2276270094854354,0.02643477690546092,-2.1377154301719514,0.2213250021868376,0.162713259564731,0.07484350901271028,0.03331674739376922,-0.10524978145933161,0.4847111640338717,indirect,right_ankle,Phrase3.mp4
1,1.1743256095640595,80.27304908132912,79.58348459511421,79.2993895316344,82.37345104863999,0.17964705228889274,0.0853180373581381,0.030503401545992403,-0.2451002601041523,0.4376901744148327,0.05929174110132478,-0.01075068836793965,-0.01191640070750033,-0.10593061902835643,0.09620473902880988,indirect,right_ankle,Phrase3.mp4
2,9.213840171759339,70.82063736857255,72.92042911847184,44.299954896421454,81.73470885566182,2.028670712735424,-1.3985896554675847,-0.7417703877862749,-8.518690821332264,0.3505359800398544,0.6946990121308046,-0.26482836047182723,-0.04870134953615768,-2.289377664219902,0.5772010597945396,indirect,right_ankle,Phrase3.mp4
3,28.6919853738736,48.629945396571664,35.881041882322606,14.140732746763353,96.58221213886333,8.081774113516618,-1.0290905942080528,-2.241846079916926,-12.586659698752811,14.162098057346277,2.971016351780306,0.2389598255927614,-0.044139432243199606,-4.416133180983888,5.344058272267203,indirect,right_ankle,Phrase3.mp4
4,6.282522617094919,19.212345950079907,17.082696670131718,11.58295204158274,29.260792108356586,2.362150883586257,0.0999639506766148,0.028400095462332686,-3.46235013938613,3.553544933901943,1.0486088962328204,-0.028121446428452705,0.3346273998549508,-2.013047444135692,1.280834275780845,indirect,right_ankle,Phrase3.mp4
5,11.811605792514353,49.28372884407193,52.42909074127604,20.3874550743127,61.245735977691766,3.5598297421268725,1.9788787709727833,0.9445839887815204,-2.374630156839924,7.428036641549383,1.033480610149194,-0.22926115033026148,0.10638848617214691,-2.0093926765728067,0.8875165728148318,indirect,right_ankle,Phrase3.mp4
6,5.633671187627199,62.591020345235634,62.92020719239689,53.896503496426824,73.05235567565096,0.24569906888485538,0.6725019599918816,0.6555381254727966,0.23581200109031641,1.0837360963811165,0.11061281312132303,0.005235716449383906,0.03636452080977115,-0.2466173288380542,0.20440519545920388,indirect,right_ankle,Phrase3.mp4
7,4.185372608794269,82.7602531438195,84.25318926384968,74.13310243591795,86.99009714950644,0.32578508317308935,0.4432549740503442,0.5121944317392035,-0.05402704082017351,1.0541612173180823,0.05734423710560218,-0.037161251116877736,-0.03355619428333334,-0.12456494123137674,0.06671365659607886,indirect,right_ankle,Phrase3.mp4
8,2.48454008445219,86.13871600705343,86.87858510937284,80.3067878592296,88.93955789693506,0.35584846139423726,-0.22589394778271413,-0.286092293873498,-0.7132745117561399,0.39751901456212124,0.08680622753190825,-0.011252736378674062,-0.00580512106880704,-0.17437954696537972,0.142359553427589,indirect,right_ankle,Phrase3.mp4
9,2.6026449623209333,81.51754982549639,80.1931433405133,78.40484804172623,84.9904006743125,0.3469148469870599,0.16444185799057345,0.040578512674624534,-0.30581339988913214,0.7768837027476394,0.10119758141341807,0.016461757836845572,0.018645706434355702,-0.14706268839675474,0.18939841814894365,indirect,right_ankle,Phrase3.mp4
10,1.981957835937347,82.84903564624211,82.31528671017949,80.13360854570611,85.64750778413868,0.32038130748163285,-0.09360984974220893,-0.02637691506274109,-0.5585588454935007,0.3962443472392678,0.08710218302948691,-0.007575549132045841,-0.006753472545888428,-0.1284838943746145,0.1622861482744291,indirect,right_ankle,Phrase3.mp4
11,1.3026579707264123,79.82812005289853,79.94505478465484,78.08934937103378,82.17777325549687,0.1456867594750367,-0.10862453046420721,-0.1434986111151133,-0.27059308540449223,0.23307961425452106,0.03576172616702616,0.011376709713569728,0.01210164176480788,-0.05905123153477021,0.07000610855096667,indirect,right_ankle,Phrase3.mp4
12,2.221227387471905,77.33859008949729,77.79913705893807,69.9866640436372,79.51740602449208,0.5622858573513608,-0.33491592021714517,-0.15295866148431259,-2.054788266103394,0.21575355481373748,0.1273566605072858,-0.07605494870097118,-0.030452389615545528,-0.3938386694572493,0.044765192029249334,indirect,right_ankle,Phrase3.mp4
13,17.761850410640122,66.55230586224751,63.38621029361549,38.014880698052835,92.40875883497655,5.326968333061965,-0.6837459520408742,-1.6205983480282935,-9.376024429397724,10.359997311840651,1.6731663777417292,-0.16716445565371524,-0.5610450686689425,-2.551830735771045,3.6655362365495314,indirect,right_ankle,Phrase3.mp4
14,2.9373034235162385,42.63714411793741,42.63714411793741,40.56015694876662,44.71413128710821,1.1942368761046733,-4.938330898223428,-4.938330898223428,-5.782783891660081,-4.093877904786774,0.330934197189797,1.8998288329236037,1.8998288329236037,1.6658230179641722,2.1338346478830355,indirect,right_ankle,Phrase3.mp4
16,3.86129959030215,51.09677271277927,52.31080823120021,40.062368180733024,55.18184847436948,1.5791188520120891,0.7128386947709642,0.2916452278387176,-1.3374549170378884,4.0951650416978325,0.652404274002392,-0.09983735935714458,-0.018847985865057204,-1.4582777990932811,0.8243629803808403,indirect,right_ankle,Phrase3.mp4
