Frame,Angle (degrees),Classification
0,88.65737597346224,direct
1,88.80960965539147,direct
2,90.0,direct
3,86.84515713520803,direct
4,83.11572080382001,direct
5,79.84351797708516,direct
6,75.05856607729437,direct
7,71.35245185775035,direct
9,74.75734502950897,direct
10,75.2058289171837,direct
11,78.40782458970894,direct
12,79.38947261599532,direct
13,80.1864821407454,direct
14,80.75772771153356,direct
15,81.7209488145402,direct
16,84.7421908310453,direct
17,88.25371837971436,direct
18,87.52579553182956,direct
19,88.59854794926666,direct
20,89.83392574186892,direct
21,89.84597945832766,direct
22,89.69360837772929,direct
23,89.37554756500002,direct
24,89.52518396775741,direct
25,88.56790381583535,direct
26,89.52254622269042,direct
27,89.18849931628812,direct
28,88.81357061904959,direct
29,88.98302196928081,direct
30,89.48691718248955,direct
31,88.60706404786168,direct
32,86.82016988013577,direct
33,84.32464411483085,direct
34,83.54444778008332,direct
35,83.71914110776524,direct
36,85.48601154199875,direct
37,87.10873040377943,direct
38,89.03551569777346,direct
39,89.61675635436525,direct
40,89.62056329858102,direct
41,89.43645312918598,direct
42,90.0,direct
43,89.45434240658427,direct
44,89.820951271861,direct
45,89.82584923079341,direct
46,89.82424662636011,direct
47,89.46620383416723,direct
48,88.28164199834454,direct
49,87.82024400825848,direct
50,86.5379269438649,direct
51,86.21388796461841,direct
52,87.39743779750019,direct
53,88.87669728592458,direct
54,89.76518254620636,direct
55,87.57366416839764,direct
56,84.01704349718395,direct
57,79.9630975460365,direct
58,78.09839376183243,direct
59,75.11678453189839,direct
60,72.96984322711295,direct
61,71.17528998175993,direct
62,69.38637110180139,direct
63,68.10843200503598,direct
64,67.05106271907673,direct
65,65.70903759164902,direct
66,65.30601487195572,direct
67,65.99109890150028,direct
68,67.12312819534523,direct
69,67.75097634278762,direct
