Frame,Angle (degrees),Classification
1,79.88053326641862,direct
2,79.70881815761764,direct
3,80.76444090683408,direct
4,81.80451641194081,direct
5,82.48785589694725,direct
6,85.53044252178793,direct
7,86.59723022893824,direct
9,79.81685785978388,direct
10,84.30429661775588,direct
11,83.51012441011886,direct
12,81.86989764584403,direct
13,81.91212002546199,direct
14,80.19208055581122,direct
15,59.448436209328804,direct
16,61.04362515971364,direct
17,69.11236548496734,direct
18,75.85420450589702,direct
19,77.98852161363456,direct
20,79.0412119314979,direct
21,79.83222451258862,direct
22,81.80451641194081,direct
23,83.54118362128135,direct
24,85.57792768891292,direct
25,87.9985426230314,direct
26,89.38227968126382,direct
27,87.96575919043983,direct
28,87.11358145613538,direct
29,86.70129913883581,direct
30,87.19362974821175,direct
31,89.46118410211724,direct
32,82.44010942507211,direct
33,77.15810371582783,direct
34,72.94668523129906,direct
35,75.96375653207353,direct
36,75.55096987354055,direct
37,75.50838058985043,direct
38,76.231909548517,direct
39,77.89232974323966,direct
40,79.03360905565947,direct
41,77.71904559490062,direct
42,84.65694424142484,direct
43,87.27368900609373,direct
44,88.70295867487293,direct
45,85.27369670705956,direct
46,86.3955794608243,direct
47,87.7803444468021,direct
48,88.49820747764065,direct
49,89.35383439396843,direct
50,88.69309865067466,direct
51,88.23760897633949,direct
52,85.32862196465044,direct
53,85.56733153131015,direct
54,85.48601154199875,direct
55,85.94477079580923,direct
56,87.23321159883048,direct
57,88.49820747764065,direct
58,88.68811221749588,direct
59,89.33892418841457,direct
60,89.33380002981687,direct
61,89.32596310201549,direct
62,89.77353564765882,direct
63,89.32063524453474,direct
64,88.85880074441286,direct
65,88.39613722884506,direct
66,88.41514560694948,direct
67,88.65737597346224,direct
68,88.89829388479362,direct
69,89.33637199998674,direct
70,89.77878187333513,direct
71,90.0,direct
72,89.33380002981687,direct
73,88.63064055909283,direct
74,88.6251652194306,direct
75,88.84499963195523,direct
76,88.61408214918782,direct
77,88.61408214918782,direct
78,88.35671934550723,direct
79,87.37577997221794,direct
80,84.59620863975029,direct
81,80.47533202821,direct
82,78.69006752597979,direct
83,78.60786416844728,direct
84,79.38034472384487,direct
85,82.1082975717643,direct
86,82.40535663140857,direct
87,82.1895855964993,direct
88,82.29066691996609,direct
89,83.44581940960724,direct
90,83.02380352295519,direct
91,81.56423248664852,direct
92,80.14443908318573,direct
93,78.7830800733526,direct
94,77.57405713457253,direct
95,76.0206540104043,direct
96,74.82708465447475,direct
97,73.8964162638126,direct
98,72.86372549642401,direct
99,71.28141102132018,direct
100,68.97835598594578,direct
101,66.17055052203517,direct
102,62.517479177177286,direct
103,57.20510618423129,direct
104,51.753574035530995,direct
105,46.78372115385586,direct
106,43.541876844102774,direct
107,41.069824454274524,direct
108,37.390162842448056,direct
109,35.85291961512485,direct
110,34.38034472384487,direct
111,34.28687697720896,direct
112,35.166436035792884,direct
113,35.949278322816276,direct
114,36.25383773744479,direct
115,35.45961819515736,direct
116,39.200782370901585,direct
117,45.205360337494874,direct
118,50.53978807355449,direct
119,54.34467190209969,direct
120,58.2801846921758,direct
121,61.583828431371984,direct
122,63.223135445844754,direct
123,64.54636773334185,direct
124,64.83456724246234,direct
125,65.33411303250053,direct
126,66.53710484364986,direct
127,67.36282514931007,direct
128,68.19859051364818,direct
129,69.18493403363269,direct
130,70.03567282174518,direct
131,70.7307056015312,direct
132,71.21780827999223,direct
133,81.64084663498613,direct
134,86.43754541627986,direct
135,80.39479584498706,direct
136,84.20078237090158,direct
137,80.5023536413864,direct
138,79.19560540246076,direct
139,80.32664456759652,direct
140,82.20567087948858,direct
141,83.6356226162218,direct
142,84.26750480717838,direct
143,40.44971886233617,direct
144,60.09157267859486,direct
145,64.97014660818455,direct
146,86.86033985217972,direct
147,89.14062775635531,direct
148,89.20057588668246,direct
149,74.5877634654186,direct
150,84.75818005302044,direct
151,44.3097228021349,direct
152,66.71393508177643,direct
153,60.060235850819154,direct
154,80.45961819515736,direct
155,87.17287542183873,direct
156,88.34996060442212,direct
157,87.75913450078647,direct
158,89.02897806892084,direct
159,90.0,direct
160,89.53037298031036,direct
161,90.0,direct
162,84.22567409733672,direct
163,82.53189925157467,direct
164,80.60755065918109,direct
165,79.79177364118615,direct
166,78.81824578980333,direct
167,78.25001642822333,direct
168,77.61924307119283,direct
169,76.6075022462489,direct
170,72.75854060106002,direct
171,82.76307797403199,direct
172,90.0,direct
173,84.53615718676336,direct
174,80.22565484790778,direct
175,77.84163397935887,direct
176,77.11896857516952,direct
177,78.77262622894743,direct
178,84.89783474764181,direct
179,80.603121258104,direct
180,80.4740511890196,direct
181,80.75828751397137,direct
182,82.44365594356054,direct
183,83.26707867314039,direct
184,84.78744525309983,direct
185,86.03328479670772,direct
186,11.3099324740202,direct
187,52.305759533310834,direct
189,86.37342821612039,direct
190,86.62187726070579,direct
191,87.22659401463422,direct
192,87.05930853121356,direct
193,87.67060846909617,direct
194,87.2920825141338,direct
195,87.12803751300724,direct
196,87.65472588009547,direct
197,86.33481535138759,direct
198,84.22567409733672,direct
199,78.73676334246507,direct
200,79.92450222425772,direct
201,81.6070748126075,direct
202,81.32682595212023,direct
203,81.039582159586,direct
204,82.10423490570622,direct
205,82.38353798070654,direct
206,86.70388402745367,direct
207,86.45763880780629,direct
208,87.32457334397085,direct
209,86.80541053488957,direct
210,88.3476953223487,direct
211,88.62954898220039,direct
212,89.71914058531661,direct
