Frame,Angle (degrees),Classification
1,89.59651526494126,indirect
2,89.7989630021654,indirect
3,90.0,indirect
4,90.0,indirect
5,90.0,indirect
6,89.79754225778181,indirect
7,89.39049342332481,indirect
8,89.1902195830891,indirect
9,88.98781238601755,indirect
10,88.98781238601755,indirect
11,88.38076254612581,indirect
12,88.172031755695,indirect
13,88.172031755695,indirect
14,88.38076254612581,indirect
15,88.78970583107879,indirect
16,88.79395122078004,indirect
17,88.79395122078004,indirect
18,88.57805634155758,indirect
19,88.36342295838328,indirect
20,88.35165549510387,indirect
21,88.15238973400541,indirect
22,88.36924392549858,indirect
23,88.38076254612581,indirect
24,88.5830788255043,indirect
25,88.57805634155758,indirect
26,88.78543045205629,indirect
27,88.99137568933976,indirect
28,89.39264699519047,indirect
29,90.0,indirect
30,89.79537308603413,indirect
31,89.58631924978064,indirect
32,89.79240750435368,indirect
33,89.5817900585029,indirect
34,89.5771605953295,indirect
35,89.57559458063852,indirect
36,89.36575528557387,indirect
37,89.36575528557387,indirect
38,89.36575528557387,indirect
39,89.15436724428037,indirect
40,88.92717072420845,indirect
41,88.9190758133393,indirect
42,89.55238582913944,indirect
43,90.0,indirect
44,90.0,indirect
45,89.7753118203755,indirect
46,88.61964592655556,indirect
47,88.34996060442212,indirect
48,87.52121089142167,indirect
49,85.82143103111054,indirect
50,85.52053954764973,indirect
51,83.90413845540418,indirect
52,82.94481393890332,indirect
53,81.49812058851856,indirect
54,80.48746239772102,indirect
55,79.75213588888973,indirect
56,79.43898930880363,indirect
57,78.55895613123258,indirect
58,76.57419075028531,indirect
59,75.29644817623844,indirect
60,75.06858282186245,indirect
61,73.93359946480334,indirect
62,74.11614626607893,indirect
63,73.30075576600639,indirect
64,72.86372549642401,indirect
65,72.69947280805499,indirect
66,71.12545024179668,indirect
67,70.37774386134916,indirect
68,69.44395478041653,indirect
69,69.89376520164068,indirect
70,69.93692733391175,indirect
71,70.68814343564735,indirect
72,70.53413299164758,indirect
73,71.99583839408662,indirect
74,73.38557551087362,indirect
75,73.55962047831983,indirect
76,74.11614626607893,indirect
77,75.52970589993411,indirect
78,77.51751061504552,indirect
79,79.19560540246076,indirect
80,81.02737338510362,indirect
81,81.63411387596742,indirect
82,82.92646232503863,indirect
83,84.99416744704891,indirect
84,86.75265720967708,indirect
85,87.7245435617458,indirect
86,88.11594976890821,indirect
87,88.11594976890821,indirect
88,88.53119928561418,indirect
89,88.95202335399352,indirect
90,89.66097567554856,indirect
91,88.3251620094708,indirect
92,88.39099109395261,indirect
93,88.69804732742112,indirect
94,88.31531568210372,indirect
95,88.18744731448442,indirect
96,88.05191499348506,indirect
97,86.48624973939503,indirect
98,87.07927847899963,indirect
99,88.865578369023,indirect
100,88.38646106711883,indirect
101,86.82016988013577,indirect
102,78.69006752597979,indirect
103,79.2157021324374,indirect
