Frame,Angle (degrees),Classification
0,80.33493348775565,indirect
1,82.66139366376377,indirect
2,83.61125252036402,indirect
3,84.31200874673749,indirect
4,83.97934382316359,indirect
5,85.23635830927383,indirect
6,84.55966796899449,indirect
7,84.47245984834383,indirect
8,83.78662473472163,indirect
9,83.8359475571712,indirect
10,83.8113840367584,indirect
11,83.60950468535302,indirect
12,83.8844964337146,indirect
13,83.68466542368593,indirect
14,83.93228937092384,indirect
15,83.78218265047876,indirect
16,83.80609503284902,indirect
17,83.75808565258495,indirect
18,83.51188488348946,indirect
19,83.48656020473626,indirect
20,83.46103791703861,indirect
21,83.46103791703861,indirect
22,83.46103791703861,indirect
23,83.4353157086659,indirect
24,83.90848629114582,indirect
25,83.8844964337146,indirect
26,83.8844964337146,indirect
27,84.1093735837959,indirect
28,84.37875693356052,indirect
29,84.17819625000013,indirect
30,83.75808565258495,indirect
31,83.04162141541563,indirect
32,83.04162141541563,indirect
33,82.81946450227984,indirect
34,82.59752441797568,indirect
35,81.86989764584403,indirect
36,81.20258929000894,indirect
37,81.20258929000894,indirect
38,81.01574444685998,indirect
39,81.05054191579113,indirect
40,80.53767779197439,indirect
41,80.53767779197439,indirect
42,81.20258929000894,indirect
43,81.4367844523209,indirect
44,81.68487424320811,indirect
45,81.4367844523209,indirect
46,81.62132749378443,indirect
47,81.55680907082336,indirect
48,81.52417854228631,indirect
49,81.30449712257523,indirect
50,81.27078915100732,indirect
51,80.98067756861832,indirect
52,80.94533816675103,indirect
53,80.99149625797484,indirect
54,80.57623483831632,indirect
55,80.61643482761343,indirect
56,80.57721938646492,indirect
57,80.4978059963834,indirect
58,80.45759988532613,indirect
59,80.0493733120484,indirect
60,80.03619581009282,indirect
61,80.15627660930564,indirect
62,79.27961975375024,indirect
63,79.1249417520059,indirect
64,77.82289187726921,indirect
65,76.0417099254886,indirect
66,75.32360686254998,indirect
67,74.80475147318012,indirect
68,74.24882633654697,indirect
69,74.95719925394616,indirect
70,74.25796004912911,indirect
71,74.9169401776701,indirect
72,74.47588900324574,indirect
73,75.51526643967703,indirect
74,75.1013045655997,indirect
75,75.23080146970837,indirect
76,74.05460409907715,indirect
77,72.58202920779716,indirect
78,71.92767785104051,indirect
79,69.86369657175187,indirect
80,68.19859051364818,indirect
81,67.61986494804043,indirect
82,66.88579201667316,indirect
83,66.71393508177644,indirect
84,65.37643521383639,indirect
85,61.64503821467594,indirect
86,59.17233770013197,indirect
87,58.07912378006683,indirect
88,57.46493284206499,indirect
89,51.1886159632416,indirect
90,47.23117460803125,indirect
91,35.83765295427829,indirect
92,9.462322208025617,indirect
93,18.43494882292201,indirect
94,46.39718102729638,indirect
95,67.16634582208245,indirect
96,79.15265315704653,indirect
97,75.08796569646576,indirect
98,75.08650455400023,indirect
99,76.63306930368316,indirect
100,76.55713234316963,indirect
101,74.69915442755,indirect
102,72.28798794551551,indirect
103,71.36883352118407,indirect
104,79.20213136539768,indirect
105,76.6607510966366,indirect
106,75.89464223566476,indirect
107,67.18401334526997,indirect
108,58.760785111791236,indirect
109,74.6591092359951,indirect
112,24.691558163478064,indirect
113,12.236111509416332,indirect
114,4.909062138655486,indirect
117,7.969610394321364,indirect
118,8.13010235415598,indirect
120,17.835014942668067,indirect
122,49.159642293712636,indirect
124,82.09283729704154,indirect
125,73.75436695452572,indirect
127,1.6211459136534074,indirect
128,71.22196677755446,indirect
129,84.97092641821455,indirect
130,61.57879077547314,indirect
131,84.0938588862295,indirect
132,67.75097634278762,indirect
133,53.7461622625552,indirect
135,28.779806304397226,indirect
136,31.660751096636574,indirect
137,4.610649318660592,indirect
138,7.523820438638637,indirect
142,77.7352262721076,indirect
162,5.194428907734806,indirect
163,17.700427788667195,indirect
164,20.955776730632184,indirect
165,21.80140948635181,indirect
166,38.36748538486154,indirect
167,66.644435140714,indirect
168,64.23067237566129,indirect
169,69.34108993669251,indirect
170,69.10223450116113,indirect
171,70.66519146217358,indirect
172,74.05460409907715,indirect
173,75.49983323344743,indirect
174,83.6598082540901,indirect
175,86.93351449887412,indirect
176,86.12147549715229,indirect
177,82.33319573818582,indirect
178,80.72739822279969,indirect
179,83.29016319224306,indirect
180,86.698134325565,indirect
181,85.91438322002513,indirect
182,81.60707481260751,indirect
183,79.93931020467704,indirect
184,77.27564431457763,indirect
185,75.96375653207353,indirect
186,74.81416273779868,indirect
187,73.73979529168804,indirect
188,78.69006752597979,indirect
189,75.96375653207353,indirect
190,71.09542415738834,indirect
191,70.20112364547508,indirect
192,69.7024302277713,indirect
193,68.06151953229354,indirect
194,66.41296947487176,indirect
195,65.73870914752221,indirect
196,65.80679101271123,indirect
197,65.4328286793987,indirect
198,64.75947073521321,indirect
199,63.758650347842234,indirect
200,62.80187205149089,indirect
201,62.81888891452278,indirect
202,61.88679112394404,indirect
203,62.209557520547904,indirect
204,61.92751306414704,indirect
205,60.42216131873867,indirect
206,59.2645122980799,indirect
207,58.69587650440903,indirect
208,57.578935237493056,indirect
209,56.309932474020215,indirect
210,54.61972779969886,indirect
211,54.22392228210534,indirect
212,52.9893267663969,indirect
213,52.9893267663969,indirect
214,52.85331330197822,indirect
215,53.67317404787977,indirect
216,54.22392228210534,indirect
217,56.12918928961119,indirect
218,57.9946167919165,indirect
219,57.66981426494965,indirect
220,58.73626830562258,indirect
221,59.42077312751099,indirect
222,59.905758523554994,indirect
223,63.43494882292201,indirect
224,70.68814343564735,indirect
225,70.16787014978162,indirect
226,67.73341172668763,indirect
227,66.15318202476097,indirect
228,66.30578361782877,indirect
229,66.30578361782877,indirect
230,67.04194451117857,indirect
231,67.18401334526997,indirect
232,67.27026792005532,indirect
233,67.80971110387746,indirect
234,69.28312494454471,indirect
