Frame,Angle (degrees),Classification
0,85.07289005235099,indirect
1,82.8749836510982,indirect
2,79.90537726253059,indirect
3,79.06618321424422,indirect
4,78.35402575151677,indirect
5,79.02561730324634,indirect
6,78.25863155754719,indirect
7,78.17851165939274,indirect
8,78.7331146850575,indirect
9,78.7758395869269,indirect
10,78.69006752597979,indirect
11,78.60467894610716,indirect
12,78.6475316915425,indirect
13,78.39143251133304,indirect
14,78.2228773061756,indirect
15,78.26691584358777,indirect
16,78.10027886348053,indirect
17,77.7995312726192,indirect
18,78.01103822786213,indirect
19,77.920469013385,indirect
20,77.87467702590723,indirect
21,78.0887845680284,indirect
22,78.0887845680284,indirect
23,78.25863155754719,indirect
24,78.47418392246932,indirect
25,78.64669449905428,indirect
26,78.86369056881827,indirect
27,79.03889596797876,indirect
28,79.25733393583772,indirect
29,79.51660077973571,indirect
30,79.51660077973571,indirect
31,79.17375026037146,indirect
32,79.13147465983128,indirect
33,79.35267228962218,indirect
34,79.39412768713758,indirect
35,79.53324430621763,indirect
36,79.75591255354136,indirect
37,79.53324430621763,indirect
38,79.53324430621763,indirect
39,79.61482301322332,indirect
40,79.61482301322332,indirect
41,79.39412768713758,indirect
42,79.57419147411521,indirect
43,79.31089532814458,indirect
44,79.31089532814458,indirect
45,79.49197785976757,indirect
46,79.19385436247128,indirect
47,79.65331653281845,indirect
48,79.61114218453038,indirect
49,80.11412799749668,indirect
50,80.38417305674345,indirect
51,81.0760115563686,indirect
52,81.7704834376051,indirect
53,81.86989764584402,indirect
54,81.97276248956804,indirect
55,82.14668669802178,indirect
56,82.38918052243318,indirect
57,82.32378524643943,indirect
58,82.25726333236203,indirect
59,82.15530390047043,indirect
60,81.7241071729248,indirect
61,81.39213762629387,indirect
62,80.94211187138234,indirect
63,80.53767779197437,indirect
64,80.29714276714762,indirect
65,79.61114218453038,indirect
66,79.38034472384486,indirect
67,78.49226930308714,indirect
68,78.05582281155367,indirect
69,77.62784474948177,indirect
70,76.7151335150978,indirect
71,76.06220279174576,indirect
72,75.21132238583482,indirect
73,74.50072462349915,indirect
74,71.56505117707798,indirect
75,71.72736173301467,indirect
76,71.73209379275887,indirect
77,71.56505117707798,indirect
78,68.65421335091023,indirect
79,66.10483858492964,indirect
80,63.43494882292201,indirect
81,64.94238458169698,indirect
82,65.77225468204583,indirect
83,64.59228189105151,indirect
84,61.55707137563665,indirect
85,57.8287828714554,indirect
86,59.57421619803873,indirect
87,59.45242825109298,indirect
88,58.172553423326875,indirect
89,51.188615963241574,indirect
90,45.74405920288871,indirect
91,44.09061955080085,indirect
92,5.355825042855173,indirect
93,0.0,indirect
94,25.76932762433873,indirect
95,59.03624346792648,indirect
96,80.77607771789465,indirect
97,89.70002483769609,indirect
98,89.71914058531661,indirect
99,89.43552782469303,indirect
100,86.55579748534673,indirect
101,84.95754893082908,indirect
102,83.79655209830815,indirect
103,77.86317554470773,indirect
104,78.95905981967626,indirect
105,82.73304559418831,indirect
106,47.88296345253954,indirect
107,5.536882362483709,indirect
108,2.4366482468101367,indirect
109,1.824089832376103,indirect
112,30.173520029644322,indirect
113,69.32557523912611,indirect
114,22.714412353167237,indirect
117,8.017093073655332,indirect
118,3.900493742381883,indirect
120,6.892423122485127,indirect
122,0.5562522270806767,indirect
124,13.495733280795804,indirect
125,26.565051177078004,indirect
127,37.568592028827496,indirect
128,0.0,indirect
129,27.235146699302504,indirect
130,52.96961039432135,indirect
131,31.798912824294405,indirect
132,6.1466256596466735,indirect
133,28.072486935852936,indirect
135,5.527540151656154,indirect
136,22.68055960702489,indirect
137,12.528807709151522,indirect
138,12.994616791916513,indirect
142,8.47114463301483,indirect
162,45.0,indirect
163,24.623564786163612,indirect
164,15.945395900922854,indirect
165,15.068488159492212,indirect
166,81.46923439005187,indirect
167,57.42594286542747,indirect
168,52.650650955359396,indirect
169,59.470294100065885,indirect
170,59.74356283647073,indirect
171,61.78264414527068,indirect
172,57.200468727380766,indirect
173,55.080597987542305,indirect
174,53.13010235415598,indirect
175,50.55994726330954,indirect
176,50.28124062844512,indirect
177,50.3709946955357,indirect
