Frame,Angle (degrees),Classification
0,87.64083386741837,indirect
1,78.78508531534642,indirect
2,78.30106239119733,indirect
3,77.7995312726192,indirect
4,77.279912792519,indirect
5,78.37783203643043,indirect
6,79.05869337409325,indirect
7,79.00372741911256,indirect
8,79.21570213243739,indirect
9,78.92693435093004,indirect
10,78.63735753209815,indirect
11,78.97824688582729,indirect
12,79.05434096163279,indirect
13,79.18465760821431,indirect
14,79.33965170546466,indirect
15,79.88463867593283,indirect
16,80.03795480617839,indirect
17,80.32073153791981,indirect
18,80.86284898586128,indirect
19,80.95159447357854,indirect
20,80.95159447357854,indirect
21,81.45608108920095,indirect
22,82.1925269790747,indirect
23,82.99170946650145,indirect
24,84.42450630444337,indirect
25,85.03025927188969,indirect
26,85.28239749543832,indirect
27,85.64435798113699,indirect
28,85.71084667118097,indirect
29,85.92474412036664,indirect
30,86.1164276332375,indirect
31,86.50882857064522,indirect
32,86.34777721969365,indirect
33,86.41394623925821,indirect
34,85.92598390411707,indirect
35,84.74425942009461,indirect
36,84.53463340336666,indirect
37,83.99099404250548,indirect
38,83.55536837794223,indirect
39,83.18807222611885,indirect
40,82.39180832721247,indirect
41,81.35208704871307,indirect
42,80.64965637157623,indirect
43,79.90894276111108,indirect
44,79.63080038025701,indirect
45,79.47221388003645,indirect
46,78.90110075035766,indirect
47,77.76040016306814,indirect
48,76.83420554555919,indirect
49,75.69264287958971,indirect
50,76.14364849830146,indirect
51,74.93151184050778,indirect
52,73.5295715603914,indirect
53,71.38983527217266,indirect
54,68.68208772453845,indirect
55,64.13364320590549,indirect
56,64.13364320590549,indirect
57,58.20108717570557,indirect
58,45.88140399658212,indirect
59,23.385221057213755,indirect
60,1.4320961841646351,indirect
61,22.52056560289688,indirect
62,33.07067782276167,indirect
63,32.124998440387515,indirect
64,33.40782458970892,indirect
65,37.62623363866976,indirect
66,43.2642954110716,indirect
67,45.5256346064576,indirect
68,47.960936134163745,indirect
69,46.494333591266525,indirect
70,44.04515874612778,indirect
71,45.92404535277271,indirect
72,44.54164354199955,indirect
73,43.6881122174959,indirect
74,39.06258390051849,indirect
75,40.20016388609528,indirect
76,45.0,indirect
77,47.88296345253954,indirect
78,46.66028236898282,indirect
79,45.42440541936148,indirect
80,43.2642954110716,indirect
81,42.8141991932244,indirect
82,42.909840846289285,indirect
83,40.23635830927381,indirect
84,34.72899627952091,indirect
85,28.61045966596521,indirect
86,26.565051177078004,indirect
87,26.139068100434827,indirect
88,20.912547691367706,indirect
89,15.326917887922178,indirect
90,8.686354581236657,indirect
91,5.673022139925308,indirect
92,1.7678270558560598,indirect
93,2.108095312356994,indirect
94,3.7022128531993985,indirect
95,4.522454146401969,indirect
96,4.790130722363216,indirect
97,3.330917380450046,indirect
98,0.2984128199948657,indirect
99,0.29997516230389465,indirect
100,1.5481576989779455,indirect
101,3.144957464698024,indirect
102,28.201628218694708,indirect
103,32.24246783912332,indirect
104,83.15722658736907,indirect
105,52.96378706071877,indirect
106,4.955448940052236,indirect
107,73.117869722016,indirect
108,68.4286928087454,indirect
109,65.96982555246254,indirect
112,34.249033006811956,indirect
113,75.65066795705286,indirect
114,74.8459319496874,indirect
117,82.8749836510982,indirect
118,42.510447078000844,indirect
120,36.30449712257521,indirect
122,12.967083983121256,indirect
124,7.59464336859142,indirect
125,10.90502204523446,indirect
127,14.162168055312748,indirect
128,15.494848599138635,indirect
129,16.699244233993596,indirect
130,12.3553598650835,indirect
131,14.688786773318384,indirect
132,21.595310448967666,indirect
133,32.00538320808349,indirect
135,5.815626529491226,indirect
136,31.568971129318328,indirect
137,30.518230678875227,indirect
138,36.645649164620295,indirect
142,12.724355685422353,indirect
162,29.500724623499167,indirect
163,33.51101879784079,indirect
164,32.96940390346211,indirect
165,33.15792388467224,indirect
166,36.55963472449335,indirect
167,39.91377829036537,indirect
168,39.70478706338287,indirect
169,39.55966796899449,indirect
170,36.79009856162929,indirect
171,36.948170519982966,indirect
172,35.99824487743868,indirect
173,36.232418755447014,indirect
174,34.38034472384487,indirect
175,34.721280195867735,indirect
176,35.34010692155766,indirect
177,35.487462397721,indirect
178,33.69006752597977,indirect
179,29.357753542791272,indirect
180,21.58396924176958,indirect
181,12.665063765042362,indirect
182,6.115503566285412,indirect
183,4.820766078092646,indirect
184,1.414423211402152,indirect
185,5.063616853030084,indirect
186,9.090276920822333,indirect
187,12.699584489597356,indirect
188,14.036243467926482,indirect
189,14.237280465761074,indirect
190,18.711737875099743,indirect
191,32.59258147259925,indirect
192,32.68055474336339,indirect
193,30.80144597613682,indirect
194,34.2157021324374,indirect
195,34.75591255354138,indirect
196,33.95905981967627,indirect
197,35.537677791974374,indirect
198,48.81407483429035,indirect
199,52.38604315126726,indirect
200,50.19442890773479,indirect
201,48.50353164478443,indirect
202,47.95077910900636,indirect
203,42.9299693469589,indirect
204,42.207297634286704,indirect
205,41.378515295882664,indirect
206,42.207297634286704,indirect
207,42.87890360333856,indirect
208,42.16588898369346,indirect
209,42.324573343970826,indirect
210,40.7461635638808,indirect
211,43.47923033885621,indirect
212,42.87890360333856,indirect
213,37.56859202882748,indirect
214,33.8869594640517,indirect
215,25.114834886144564,indirect
216,17.78388844269253,indirect
217,17.78388844269253,indirect
218,13.240519915187178,indirect
219,12.171458208587467,indirect
220,9.090276920822333,indirect
221,0.0,indirect
222,0.0,indirect
223,14.995079129175991,indirect
224,14.036243467926482,indirect
225,12.154941697222228,indirect
226,14.036243467926482,indirect
227,13.840695491655623,indirect
228,13.284866484902182,indirect
229,12.60860679336622,indirect
230,11.023455963743118,indirect
231,10.885527054658724,indirect
232,11.3099324740202,indirect
233,14.981632572390907,indirect
234,17.68439202655773,indirect
235,22.425861921351782,indirect
236,28.178590109959146,indirect
237,30.80144597613682,indirect
238,38.51692630710275,indirect
239,43.02506598911802,indirect
240,48.21548399174819,indirect
241,56.309932474020215,indirect
242,62.65012421993012,indirect
243,63.82471001824007,indirect
244,69.14554196042165,indirect
245,74.81416273779867,indirect
246,78.11134196037202,indirect
247,81.098283967108,indirect
248,82.14668669802178,indirect
249,82.3210361926313,indirect
250,83.86274405073802,indirect
251,84.17365797044421,indirect
252,84.61068824002659,indirect
253,85.40574666873361,indirect
254,85.74616356388081,indirect
255,85.35202930861297,indirect
256,85.73210669970919,indirect
257,86.02750405924934,indirect
258,87.81141743959678,indirect
259,87.24089234137972,indirect
260,86.42366562500264,indirect
261,85.62523771904455,indirect
262,84.94831065623757,indirect
263,84.77934876937607,indirect
264,84.40066066347943,indirect
265,83.4492735288993,indirect
266,83.34979968334079,indirect
267,82.66322619045388,indirect
268,82.42146452514022,indirect
269,82.1385745956389,indirect
270,81.67434966957316,indirect
271,81.20258929000893,indirect
272,80.53767779197437,indirect
273,79.73321116729291,indirect
274,79.27555146252881,indirect
275,78.15460854041525,indirect
276,78.25631560963028,indirect
277,77.535067157935,indirect
278,76.67049428252933,indirect
279,75.96375653207352,indirect
280,75.7354877019201,indirect
281,74.87599269168943,indirect
282,74.66384064446075,indirect
283,74.68089943686736,indirect
284,74.87129207807186,indirect
285,74.93151184050778,indirect
286,75.31952829055281,indirect
287,75.66644974415219,indirect
288,76.04752223191505,indirect
289,76.74971431372735,indirect
290,76.82744657667311,indirect
291,77.57957005474341,indirect
292,77.68611762041441,indirect
293,77.79088024150376,indirect
294,77.92786265316414,indirect
295,78.09488947568047,indirect
296,78.50603460582056,indirect
297,78.69006752597979,indirect
298,78.60002708750912,indirect
299,78.83904217599743,indirect
300,78.86837331814486,indirect
301,79.01277459723303,indirect
302,79.38034472384486,indirect
303,79.46081627137177,indirect
304,79.63019235780723,indirect
305,79.60398051053163,indirect
306,79.77314229365865,indirect
307,79.65627379539224,indirect
308,79.63019235780723,indirect
309,79.56625435721615,indirect
310,79.25621292901911,indirect
311,79.14165052584404,indirect
312,79.08211463956856,indirect
313,78.8844780530739,indirect
314,78.49640797539382,indirect
315,77.7472404844526,indirect
316,77.63939398929976,indirect
317,77.0582293280482,indirect
318,76.50973909545431,indirect
319,76.10001258796437,indirect
320,75.69173113617754,indirect
321,75.28492834940222,indirect
322,75.14966170101577,indirect
323,74.91598593188779,indirect
324,74.74488129694221,indirect
325,74.74488129694221,indirect
326,74.87963699772148,indirect
327,74.97833911083139,indirect
328,75.213497541656,indirect
329,75.34953108656589,indirect
330,75.52093233296905,indirect
331,76.03221023846726,indirect
332,76.79207153722089,indirect
333,77.43976290315443,indirect
334,77.43976290315443,indirect
335,77.50321004639422,indirect
336,78.57289840605486,indirect
337,79.01712862048267,indirect
338,78.99225765383014,indirect
339,79.17924052382173,indirect
340,79.21570213243739,indirect
341,79.63754090156813,indirect
342,80.18994857223254,indirect
343,80.09842790580994,indirect
344,80.08228128538492,indirect
345,79.64667995607056,indirect
346,79.58134254113995,indirect
347,79.42647658143908,indirect
348,79.7124216981352,indirect
349,79.28153770040835,indirect
350,78.97922906270941,indirect
351,78.43002795209799,indirect
352,78.25001642822332,indirect
353,78.37301901769398,indirect
354,78.27049649411668,indirect
355,78.49518467374118,indirect
356,78.4813406551205,indirect
357,77.72290194889197,indirect
358,77.6609127216738,indirect
359,76.86597769360367,indirect
360,76.7594800848128,indirect
361,76.21840276434637,indirect
362,74.74488129694221,indirect
363,72.27237054562224,indirect
364,71.84729411334885,indirect
365,68.96248897457818,indirect
366,66.50143432404789,indirect
367,60.67952412241924,indirect
368,55.203973721731685,indirect
369,47.66300076606714,indirect
370,47.66300076606714,indirect
371,43.53119928561418,indirect
372,32.00538320808349,indirect
373,5.440332031005511,indirect
374,9.462322208025626,indirect
375,30.173520029644322,indirect
376,30.579226872489016,indirect
377,35.166436035792884,indirect
378,39.4278021960362,indirect
379,37.79394299861673,indirect
380,43.83086067209257,indirect
381,43.451842301022026,indirect
382,41.32550047917033,indirect
383,45.0,indirect
384,44.518534194161646,indirect
385,44.07595464722729,indirect
386,41.68905848538853,indirect
387,41.7947840689865,indirect
388,43.667780146130355,indirect
389,44.56263613247927,indirect
390,41.30861401354872,indirect
391,38.45370921670596,indirect
392,33.69006752597977,indirect
393,31.568971129318328,indirect
394,30.762719534238897,indirect
395,28.04015297793495,indirect
396,23.41211416930267,indirect
397,19.241878278024387,indirect
398,15.086354008465122,indirect
399,11.673710312884765,indirect
400,11.21884228126882,indirect
401,5.110417561031227,indirect
402,2.726310993906253,indirect
403,6.340191745909891,indirect
404,9.395466019566896,indirect
405,11.784748506262787,indirect
406,11.702901480221357,indirect
407,12.875001559612485,indirect
408,10.929488002180392,indirect
409,2.898576799281699,indirect
410,1.0741699983726107,indirect
411,2.188582560403205,indirect
412,2.9170072866277224,indirect
413,5.492324557127432,indirect
414,5.563208820743995,indirect
415,8.972626614896399,indirect
416,10.784297867562572,indirect
417,12.652556500557978,indirect
418,10.40771131249005,indirect
419,8.997143421065061,indirect
420,58.21908490701658,indirect
421,15.478638165418346,indirect
489,33.79165568107348,indirect
490,34.00372741911255,indirect
491,33.90110075035767,indirect
492,33.69006752597977,indirect
493,16.990823291986146,indirect
494,31.42956561483851,indirect
495,30.963756532073518,indirect
496,36.86989764584402,indirect
497,39.28940686250036,indirect
498,12.528807709151522,indirect
499,45.0,indirect
500,32.17121712854458,indirect
501,37.135975204500454,indirect
502,37.542944859764674,indirect
503,38.976006917680394,indirect
504,39.85723544211575,indirect
505,40.38007651833959,indirect
506,39.91377829036537,indirect
507,39.319109182034055,indirect
508,39.136127989231056,indirect
