Frame,Angle (degrees),Classification
0,82.8473312500053,indirect
1,77.56542868533603,indirect
2,69.4084885023632,indirect
3,70.12948329292084,indirect
4,70.52834062445542,indirect
5,70.94229548987167,indirect
6,71.02959219151346,indirect
7,70.89625922410931,indirect
8,70.94229548987167,indirect
9,70.85000836971993,indirect
10,70.89625922410931,indirect
11,70.66987746686692,indirect
12,70.53643185735594,indirect
13,70.7166176304571,indirect
14,70.76314084329019,indirect
15,70.67681568183822,indirect
16,70.67681568183822,indirect
17,70.72317842674217,indirect
18,70.90142317706474,indirect
19,71.12768730955726,indirect
20,71.34719755198083,indirect
21,71.82587993453092,indirect
22,72.55652701536853,indirect
23,73.75609410961927,indirect
24,75.10372282329097,indirect
25,76.3973018859189,indirect
26,76.46167950823211,indirect
27,77.63566302245795,indirect
28,78.82616175818528,indirect
29,79.74583532209581,indirect
30,80.79661340573624,indirect
31,81.9113562344934,indirect
32,81.97464301272323,indirect
33,82.40535663140857,indirect
34,83.62554044746247,indirect
35,84.32164077162457,indirect
36,84.5757149590561,indirect
37,84.95227404781019,indirect
38,84.75653049410131,indirect
39,85.68749685606112,indirect
40,85.21911612516806,indirect
41,85.00205790607208,indirect
42,84.53812415368604,indirect
43,85.07289005235099,indirect
44,85.05166624997564,indirect
45,85.62103139224762,indirect
46,85.8150838748816,indirect
47,85.0302592718897,indirect
48,84.28940686250037,indirect
49,82.4835582837305,indirect
50,82.63525375501736,indirect
51,80.3112134396332,indirect
52,77.12499844038753,indirect
53,69.90476880809518,indirect
54,56.52372170389733,indirect
55,48.731396999160445,indirect
56,46.8476102659946,indirect
57,30.46554491945988,indirect
58,8.3929251873925,indirect
59,10.304846468766033,indirect
60,22.087171603228345,indirect
61,31.429565614838516,indirect
62,35.33133133891637,indirect
63,35.53767779197438,indirect
64,37.77568430595466,indirect
65,38.57652956344343,indirect
66,40.71084667118098,indirect
67,40.865328626263576,indirect
68,40.292147755627774,indirect
69,40.60129464500447,indirect
70,38.8113840367584,indirect
71,39.86744556012703,indirect
72,39.117554409904656,indirect
73,40.548825997113426,indirect
74,37.47617956136137,indirect
75,37.47617956136137,indirect
76,36.142041236371654,indirect
77,33.690067525979785,indirect
78,33.84005613496724,indirect
79,33.231711067979354,indirect
80,32.60033357369024,indirect
81,33.53604698430745,indirect
82,32.005383208083494,indirect
83,29.21129225772812,indirect
84,24.70243022777131,indirect
85,18.26790620724112,indirect
86,17.14034930475773,indirect
87,16.015439606265677,indirect
88,14.40668515643687,indirect
89,10.39733352243635,indirect
90,3.576334374997351,indirect
91,1.3426240265377571,indirect
92,4.934164340560066,indirect
93,4.028263666485141,indirect
94,3.4336303624505224,indirect
95,2.2457425658950716,indirect
96,1.0479766460064828,indirect
97,0.6944602875497745,indirect
98,3.7685297091353833,indirect
99,4.109997961274774,indirect
100,6.490771634475678,indirect
101,8.513987929750348,indirect
102,12.191336470602351,indirect
103,40.47904210041858,indirect
104,8.972626614896399,indirect
105,87.83892051177364,indirect
106,16.663479082887935,indirect
107,48.71528910542877,indirect
108,12.037202320365747,indirect
109,3.8140748342903543,indirect
112,86.08175113593262,indirect
113,75.36172146162632,indirect
114,70.7802265740861,indirect
117,21.29735404903376,indirect
118,21.25050550713324,indirect
120,54.46232220802562,indirect
122,6.7098368077569335,indirect
124,11.309932474020213,indirect
125,2.792702365713283,indirect
127,15.39554925399509,indirect
128,0.0,indirect
129,0.8951737102110744,indirect
130,7.594643368591445,indirect
131,5.710593137499642,indirect
132,36.25383773744479,indirect
133,50.59933933652056,indirect
135,32.39984017391933,indirect
136,12.757532160876679,indirect
137,3.1798301198642345,indirect
138,28.141601232261724,indirect
142,6.581944655178011,indirect
162,6.581944655178011,indirect
163,17.650124219930124,indirect
164,33.340707346477004,indirect
165,25.20112364547507,indirect
166,30.579226872489016,indirect
167,56.853004167744004,indirect
168,66.80140948635182,indirect
169,73.92642583525361,indirect
170,71.17528998175993,indirect
171,74.74488129694222,indirect
172,77.61924307119283,indirect
173,78.02386755579664,indirect
174,77.47119229084849,indirect
175,82.8749836510982,indirect
176,84.28940686250036,indirect
177,83.99099404250548,indirect
178,70.3461759419467,indirect
179,55.00797980144132,indirect
180,37.87498365109818,indirect
181,28.61045966596521,indirect
182,10.304846468766016,indirect
183,0.0,indirect
184,12.994616791916513,indirect
185,17.3540246362613,indirect
186,26.565051177078004,indirect
187,29.744881296942225,indirect
188,29.98163936884933,indirect
189,28.300755766006375,indirect
190,29.538782259558076,indirect
191,34.159694545669424,indirect
192,39.80557109226518,indirect
193,42.27368900609375,indirect
194,46.432096184164635,indirect
195,47.86240522611175,indirect
196,47.6025622024998,indirect
197,49.39870535499551,indirect
198,50.527540151656154,indirect
199,49.864514437760505,indirect
200,49.76364169072619,indirect
201,49.214178522734045,indirect
202,48.576334374997344,indirect
203,46.77146974003409,indirect
204,46.193489423982044,indirect
205,45.59065721464668,indirect
206,44.42127443439222,indirect
207,45.0,indirect
208,45.0,indirect
209,44.37040139158972,indirect
210,43.06941255883302,indirect
211,40.399904333736714,indirect
212,37.62623363866976,indirect
213,37.62623363866976,indirect
214,37.07307331731039,indirect
215,33.69006752597977,indirect
216,28.072486935852936,indirect
217,17.28149837181664,indirect
218,5.572197803963803,indirect
219,1.4320961841646351,indirect
220,21.03751102542182,indirect
221,51.34019174590989,indirect
222,85.03025927188969,indirect
223,59.743562836470744,indirect
224,42.27368900609374,indirect
225,43.21008939175393,indirect
226,24.623564786163612,indirect
227,13.815025341261611,indirect
228,7.539445139509308,indirect
229,3.052882514792428,indirect
230,0.0,indirect
231,1.4320961841646465,indirect
232,2.0213649403560154,indirect
233,8.403371090560826,indirect
234,9.673355432403495,indirect
235,10.933816785755786,indirect
236,12.183656585987388,indirect
237,12.804266065286752,indirect
238,14.349332042947134,indirect
239,19.98310652189998,indirect
240,21.0923395058275,indirect
241,26.952178931228943,indirect
242,26.980230718222856,indirect
243,26.980230718222856,indirect
