Frame,Angle (degrees),Classification
1,67.78411763640943,direct
2,73.79841260518845,direct
3,86.83542637811445,direct
4,87.78236489180843,direct
5,80.49564127749699,direct
6,75.82311916230367,direct
7,74.00847224148293,direct
9,65.06793882519496,direct
10,65.1980009873306,direct
11,69.52772048025808,direct
12,82.61166345804776,direct
13,84.7691928244468,direct
14,68.51944352496602,direct
15,57.57360502567849,direct
16,51.28885145542741,direct
17,50.39224339011376,direct
18,49.258846122170354,direct
19,49.713194176126,direct
20,53.63422206454535,direct
21,59.425210876670505,direct
22,62.29540005285238,direct
23,71.72398497057749,direct
24,82.33804884502779,direct
25,86.85504253530198,direct
26,80.51725876949133,direct
27,74.99023502506024,direct
28,71.86385305497758,direct
29,71.45350859343768,direct
30,72.59174735713586,direct
31,72.83808119713468,direct
32,73.92421730965962,direct
33,77.72359497313764,direct
34,83.76667475862008,direct
35,88.48895096132107,direct
36,88.16085917659163,direct
37,88.93908830973577,direct
38,87.30738051080338,direct
39,82.37459655230596,direct
40,79.90647863847744,direct
41,77.19573393471325,direct
42,74.74488129694221,direct
43,71.08650985626333,direct
44,69.26383145993945,direct
45,64.50636215279773,direct
46,60.461217740441896,direct
47,56.17242286720686,direct
48,50.98059952476345,direct
49,45.0,direct
50,40.30131948270056,direct
51,35.94927832281627,direct
52,39.87683446287184,direct
53,37.665621198583295,direct
54,42.61405596961117,direct
55,86.42366562500266,direct
56,22.619864948040426,direct
57,12.875001559612476,direct
58,9.637538112930946,direct
59,10.619655276155134,direct
60,11.888658039627975,direct
61,11.821488340607255,direct
62,12.46493284206499,direct
63,13.62699485989154,direct
64,15.871178611457006,direct
65,16.504361381755018,direct
66,16.081651956813708,direct
67,15.471328165520145,direct
68,15.945395900922854,direct
69,15.945395900922854,direct
70,14.898695434400302,direct
71,15.068488159492212,direct
72,14.574216198038739,direct
73,12.215719134130856,direct
74,9.560096480886301,direct
75,6.745579647482819,direct
76,4.351077951573885,direct
77,4.351077951573885,direct
78,0.6227556872063182,direct
79,3.0447784441939847,direct
80,4.813550893706532,direct
81,5.35582504285519,direct
82,8.702223789946798,direct
83,9.74364128703716,direct
84,10.304846468766033,direct
85,10.551809506192281,direct
86,9.211026540816666,direct
87,8.13010235415598,direct
88,6.581944655178011,direct
89,3.6012781172234396,direct
90,0.3649363357306455,direct
91,5.284000141977304,direct
92,10.581635520943792,direct
93,14.545202741174348,direct
94,17.723236616886318,direct
95,21.952452491940416,direct
96,26.10018689881653,direct
97,28.266405782404114,direct
98,30.327634119133858,direct
99,32.08218715606604,direct
100,33.231711067979354,direct
101,33.75358831981464,direct
102,33.87853980510965,direct
103,34.55437794347488,direct
104,34.18612248637504,direct
105,33.56274378109241,direct
106,32.45319173237284,direct
107,31.701429669505718,direct
108,30.291696100317253,direct
109,29.98986443045133,direct
110,29.683140179123296,direct
111,29.898901838614567,direct
112,30.752645551131632,direct
113,32.749775733326885,direct
114,34.74004444357857,direct
115,37.10186309714223,direct
116,38.19574043739158,direct
117,40.57708857144965,direct
118,41.10303801989639,direct
119,41.76029970389787,direct
120,40.46222749209335,direct
121,39.083730588736785,direct
122,38.01894259317021,direct
123,37.23483398157467,direct
124,35.51450926128687,direct
125,35.00824210625463,direct
126,34.28687697720896,direct
127,33.690067525979785,direct
128,33.63858885203936,direct
129,34.683823537410305,direct
130,35.83765295427829,direct
131,36.73680664361002,direct
132,37.98694399616259,direct
133,40.73535881569577,direct
134,42.57455677896189,direct
135,45.730507694268866,direct
136,49.61237193011234,direct
137,53.50870331627031,direct
138,57.444354104997224,direct
139,62.78797253845246,direct
140,75.75439407955862,direct
141,86.67852423665394,direct
142,75.61412987544614,direct
143,75.62722131553815,direct
144,78.05900909669737,direct
145,78.52570831097061,direct
146,78.95109432834526,direct
147,79.2157021324374,direct
148,78.92257086228146,direct
149,79.48916848569776,direct
150,77.71167683672466,direct
151,81.34745820888527,direct
152,76.35928324370859,direct
153,73.45483547778984,direct
154,73.09257661929092,direct
155,71.48284781954547,direct
156,69.34935534048877,direct
157,65.60626061383684,direct
158,65.87464682645003,direct
159,54.20259697202166,direct
160,46.7569883099082,direct
161,18.924644416051233,direct
162,17.543257715400127,direct
163,20.885801460693038,direct
164,21.595310448967687,direct
165,29.188629069861555,direct
166,37.41962706187638,direct
167,39.39256803930824,direct
168,38.33869836022984,direct
169,41.5526131481348,direct
170,76.48343189120868,direct
171,45.30970389995884,direct
172,45.830315486258016,direct
173,34.99202019855866,direct
174,65.09523119190482,direct
175,80.53767779197439,direct
176,59.03624346792648,direct
177,12.994616791916505,direct
178,13.570434385161485,direct
179,15.524110996754246,direct
180,48.81407483429035,direct
181,34.99202019855866,direct
182,56.309932474020215,direct
183,38.92754359279229,direct
184,35.8376529542783,direct
185,41.18592516570965,direct
186,39.28940686250033,direct
187,57.804266065286754,direct
189,7.171712165387078,direct
190,7.259724046259805,direct
191,5.3767054280507125,direct
192,2.423771344113561,direct
193,3.9259077036839756,direct
194,10.086531684653778,direct
195,16.774666453939204,direct
196,21.0185952851011,direct
197,24.88741171092451,direct
198,29.910475574345043,direct
199,29.923930025081205,direct
200,35.8698235177213,direct
201,45.454718861693124,direct
202,58.39249775375109,direct
203,73.17859010995917,direct
204,82.23483398157467,direct
205,29.054604099077146,direct
206,4.343239951689387,direct
207,24.27027325930947,direct
208,34.892573123468395,direct
209,43.04632338840723,direct
210,50.210397630708485,direct
211,55.700084462859905,direct
212,57.63336193527501,direct
