Frame,Angle (degrees),Classification
1,58.10920819815429,direct
2,65.38615459958083,direct
3,72.3381107331073,direct
4,71.9335077024157,direct
5,68.60411504291424,direct
6,74.57783868126133,direct
7,71.36066757485655,direct
9,32.41230661835121,direct
10,10.573523418560919,direct
11,10.581635520943792,direct
12,13.366930696316848,direct
13,14.68878677331838,direct
14,4.993743985823392,direct
15,2.7524854002686845,direct
16,5.5872439642043465,direct
17,19.72227776444705,direct
18,61.52579638992563,direct
19,43.33166255170667,direct
20,47.72631099390625,direct
21,24.193208987288756,direct
22,11.200797787884426,direct
23,4.692862505589829,direct
24,3.814074834290352,direct
25,4.170436524842103,direct
26,4.7176025045616825,direct
27,5.026967816064996,direct
28,6.8953094143326155,direct
29,8.358068443700006,direct
30,4.46281847204051,direct
31,0.8724571229020057,direct
32,2.8446556047734077,direct
33,5.710593137499643,direct
34,14.25003269780359,direct
35,32.15229514128234,direct
36,42.3974377975002,direct
37,19.17900802581072,direct
38,7.523820438638627,direct
39,3.4473868518651978,direct
40,4.67741785888175,direct
41,10.229008287359525,direct
42,9.00850374202516,direct
43,8.72169779798173,direct
44,11.063500533343296,direct
45,16.120210856591918,direct
46,16.762554461832746,direct
47,18.103763034506628,direct
48,16.367845605986737,direct
49,21.80140948635181,direct
50,31.39945748334126,direct
51,50.648247373735266,direct
52,58.62699485989155,direct
53,43.49256424122504,direct
54,34.33021719550334,direct
55,31.607502246248885,direct
56,18.434948822921996,direct
57,9.344671902099691,direct
58,5.774325902663264,direct
59,0.5562522270806767,direct
60,5.762632886598453,direct
61,10.036902453963506,direct
62,14.381394591090611,direct
63,19.563783619582637,direct
64,22.13549187810034,direct
65,22.765009107511474,direct
66,22.18401334526996,direct
67,27.121303404158652,direct
68,8.13010235415598,direct
69,23.875280853927507,direct
70,45.987760399639825,direct
71,60.99358409772995,direct
72,64.86258549748224,direct
73,65.96571184055742,direct
74,68.64144762293942,direct
75,65.67095838181628,direct
76,65.15330682457747,direct
77,63.7617272921233,direct
78,61.828945833639764,direct
79,60.49648970071962,direct
80,59.58430999901125,direct
81,59.38139459109061,direct
82,59.65135857182216,direct
83,60.06166154454618,direct
84,59.89538965437205,direct
85,61.41078459687772,direct
86,63.43494882292201,direct
87,64.15561244543967,direct
88,64.95159069476323,direct
89,66.92958775017534,direct
90,69.1760942750764,direct
91,70.24254027807132,direct
92,71.43242229472584,direct
93,72.76511800655439,direct
94,73.37641868605535,direct
95,74.2679952148927,direct
96,74.96782094813973,direct
97,75.86952013758598,direct
98,76.29769984188023,direct
99,76.59818131262149,direct
100,79.0912919164592,direct
101,80.30133826228992,direct
102,83.48656020473626,direct
103,46.49433359126654,direct
104,61.38954033403479,direct
105,72.42874122167758,direct
106,69.27444113443946,direct
107,79.169920456593,direct
108,82.0730733173104,direct
109,86.98721249581666,direct
110,81.6561084159669,direct
111,80.53767779197437,direct
112,77.13920694090545,direct
113,76.14526314616668,direct
114,75.3180322586064,direct
115,73.43679614236675,direct
116,72.96582712089074,direct
117,71.34496603860794,direct
118,69.44395478041653,direct
119,68.45342551009837,direct
120,67.10013347153442,direct
121,65.40274584087713,direct
122,64.07509849244555,direct
123,61.78264414527068,direct
124,59.1231869209396,direct
125,56.45628152870192,direct
126,53.569141879837645,direct
127,49.71265168978846,direct
128,45.868051449745536,direct
129,40.565529493898765,direct
130,36.0273733851036,direct
131,33.996459148250466,direct
132,31.37300514010846,direct
133,30.82193558529309,direct
134,29.357753542791272,direct
135,28.178590109959146,direct
136,28.36119432957372,direct
137,27.57013718233216,direct
138,29.800943685619217,direct
139,28.92642583525361,direct
140,68.13362934022145,direct
141,78.8869594640517,direct
142,31.865977693603696,direct
143,24.512985806669292,direct
144,21.948699083526975,direct
145,21.209226134222803,direct
146,18.81606812094313,direct
147,16.821409890040826,direct
148,12.162203519681839,direct
149,6.536633648797078,direct
150,4.3987053549955135,direct
151,8.746162262555202,direct
152,50.527540151656154,direct
153,59.743562836470744,direct
154,34.28687697720896,direct
155,31.218402764346376,direct
156,25.581529257938886,direct
157,22.58385252065636,direct
158,14.237280465761085,direct
159,10.234802763423213,direct
160,9.211026540816666,direct
161,1.0877638403840888,direct
162,4.23639479905884,direct
163,10.704006749277976,direct
164,17.31164610884658,direct
165,24.751542637912074,direct
166,38.01438916557802,direct
167,40.60129464500447,direct
168,35.764440906834075,direct
169,31.218402764346376,direct
170,29.299008745009736,direct
171,24.70243022777131,direct
172,21.25050550713324,direct
173,15.945395900922854,direct
174,14.225963898751795,direct
175,7.485038950373337,direct
176,4.796798966835555,direct
177,2.783020753856615,direct
178,4.573921259900861,direct
179,5.710593137499642,direct
180,40.34174589032439,direct
181,46.8476102659946,direct
182,59.36458244969721,direct
183,77.12499844038753,direct
184,76.70142966950571,direct
185,74.31000707091613,direct
186,71.4542277572322,direct
187,9.865806943084367,direct
189,45.93919094573556,direct
190,61.959847022065034,direct
191,58.05002855366685,direct
192,56.72511201516508,direct
193,19.746836605426125,direct
194,1.091216225262599,direct
195,7.907162702958459,direct
196,14.743562836470716,direct
197,19.201117142796733,direct
198,21.75020683732538,direct
199,22.861339983693682,direct
200,23.362058770571025,direct
201,21.317912275461538,direct
202,25.82099197418927,direct
203,6.842773412630947,direct
204,14.560275619356872,direct
205,46.73570458892837,direct
206,70.523424501068,direct
207,81.44444175658711,direct
208,87.51044707800084,direct
209,88.19883948427764,direct
210,83.92041104216152,direct
211,81.02737338510362,direct
212,79.2157021324374,direct
